date,ticker,momentum_6m,momentum_12m,rank_6m,rank_12m,composite_score,final_rank,weight
2017-11-30,NVDA,0.3995,1.1854,0.9796,1.0,0.9857,2,0.0667
2017-11-30,MU,0.3582,1.1705,0.9592,0.9796,0.9653,3,0.0667
2017-11-30,ISRG,0.297,0.8631,0.9184,0.9388,0.9245,4,0.0667
2017-11-30,ASML,0.303,0.7188,0.9388,0.8367,0.9082,5,0.0667
2017-11-30,ADBE,0.2648,0.7651,0.898,0.8776,0.8918,6,0.0667
2017-11-30,CDNS,0.245,0.6709,0.8571,0.8163,0.8449,7,0.0667
2017-11-30,LRCX,0.2183,0.839,0.7959,0.9184,0.8327,8,0.0667
2017-11-30,MNST,0.2224,0.4004,0.8163,0.551,0.7367,9,0.0667
2017-11-30,INTC,0.2512,0.3288,0.8776,0.3878,0.7306,10,0.0667
2017-11-30,CTAS,0.2408,0.3889,0.8367,0.4694,0.7265,11,0.0667
2017-11-30,SNPS,0.192,0.4944,0.7551,0.5918,0.7061,12,0.0667
2017-11-30,MAR,0.1608,0.6325,0.6531,0.7551,0.6837,13,0.0667
2017-11-30,TXN,0.2068,0.3492,0.7755,0.449,0.6776,14,0.0667
2017-11-30,MSFT,0.1851,0.428,0.7143,0.5714,0.6714,15,0.0667
2017-12-29,MU,0.3771,0.8464,0.9796,0.9592,0.9735,1,0.0667
2017-12-29,PYPL,0.3717,0.8423,0.9388,0.9388,0.9388,2,0.0667
2017-12-29,NVDA,0.3407,0.7433,0.898,0.9184,0.9041,3,0.0667
2017-12-29,MAR,0.3612,0.6496,0.9184,0.8367,0.8939,4,0.0667
2017-12-29,LRCX,0.3086,0.7387,0.8571,0.898,0.8694,5,0.0667
2017-12-29,TXN,0.3746,0.4441,0.9592,0.6122,0.8551,6,0.0667
2017-12-29,MELI,0.2555,0.9897,0.7959,0.9796,0.851,7,0.0667
2017-12-29,ASML,0.3339,0.5792,0.8776,0.7755,0.8469,8,0.0667
2017-12-29,NFLX,0.2848,0.5316,0.8367,0.7347,0.8061,9,0.0667
2017-12-29,INTC,0.3865,0.2948,1.0,0.3469,0.8041,10,0.0667
2017-12-29,CDNS,0.2487,0.6387,0.7347,0.8163,0.7592,11,0.0667
2017-12-29,MNST,0.274,0.4055,0.8163,0.551,0.7367,12,0.0667
2017-12-29,ADBE,0.239,0.6902,0.6735,0.8571,0.7286,13,0.0667
2017-12-29,AMAT,0.2424,0.5795,0.6939,0.7959,0.7245,14,0.0667
2017-12-29,MSFT,0.2538,0.3903,0.7755,0.5102,0.6959,15,0.0667
2018-01-31,NVDA,0.4967,1.2601,0.9796,1.0,0.9857,1,0.0667
2018-01-31,MU,0.5427,0.8134,1.0,0.8776,0.9633,2,0.0667
2018-01-31,NFLX,0.4849,0.921,0.9592,0.9184,0.9469,3,0.0667
2018-01-31,PYPL,0.4378,1.1448,0.9184,0.9796,0.9367,4,0.0667
2018-01-31,AMZN,0.4564,0.7619,0.9388,0.8367,0.9082,5,0.0667
2018-01-31,MAR,0.4099,0.7636,0.898,0.8571,0.8857,6,0.0667
2018-01-31,ISRG,0.3763,0.8695,0.8776,0.898,0.8837,7,0.0667
2018-01-31,ADBE,0.3556,0.7619,0.8367,0.8163,0.8306,8,0.0667
2018-01-31,MELI,0.3414,1.0929,0.7755,0.9592,0.8306,8,0.0667
2018-01-31,ASML,0.3448,0.6884,0.8163,0.7755,0.8041,10,0.0667
2018-01-31,TXN,0.3583,0.4873,0.8571,0.6735,0.802,11,0.0667
2018-01-31,MSFT,0.3226,0.5024,0.7347,0.6939,0.7224,12,0.0667
2018-01-31,MNST,0.2845,0.6016,0.6939,0.7347,0.7061,13,0.0667
2018-01-31,INTC,0.3422,0.3444,0.7959,0.4082,0.6796,14,0.0667
2018-01-31,CSCO,0.3337,0.399,0.7551,0.4694,0.6694,15,0.0667
2018-02-28,NFLX,0.7435,1.0501,1.0,0.9592,0.9878,1,0.0667
2018-02-28,MELI,0.6013,0.8441,0.9796,0.9184,0.9612,2,0.0667
2018-02-28,MU,0.5705,1.0823,0.9388,0.9796,0.951,3,0.0667
2018-02-28,NVDA,0.4689,1.3925,0.9184,1.0,0.9429,4,0.0667
2018-02-28,AMZN,0.5988,0.7898,0.9592,0.8776,0.9347,5,0.0667
2018-02-28,MAR,0.4091,0.642,0.8571,0.8163,0.8449,6,0.0667
2018-02-28,ADBE,0.3778,0.7672,0.8367,0.8571,0.8429,7,0.0667
2018-02-28,INTC,0.4406,0.3997,0.8776,0.6531,0.8102,8,0.0667
2018-02-28,CSCO,0.4427,0.3554,0.898,0.5918,0.8061,9,0.0667
2018-02-28,PYPL,0.3119,0.8907,0.7347,0.9388,0.7959,10,0.0667
2018-02-28,TXN,0.3577,0.4487,0.8163,0.6735,0.7735,11,0.0667
2018-02-28,AMAT,0.3246,0.6029,0.7551,0.7551,0.7551,12,0.0667
2018-02-28,ISRG,0.2975,0.7359,0.6939,0.8367,0.7367,13,0.0667
2018-02-28,FTNT,0.3545,0.3513,0.7959,0.5714,0.7286,14,0.0667
2018-02-28,MSFT,0.3001,0.4963,0.7143,0.7143,0.7143,15,0.0667
2018-03-29,NFLX,0.6231,1.0165,1.0,0.9796,0.9939,1,0.0667
2018-03-29,AMZN,0.5221,0.6554,0.9796,0.898,0.9551,2,0.0667
2018-03-29,ADBE,0.4757,0.6675,0.9592,0.9184,0.9469,3,0.0667
2018-03-29,MU,0.4058,0.8295,0.9184,0.9592,0.9306,4,0.0667
2018-03-29,NVDA,0.3196,1.1646,0.8571,1.0,0.9,5,0.0667
2018-03-29,MELI,0.3342,0.6504,0.8776,0.8776,0.8776,6,0.0667
2018-03-29,INTC,0.405,0.5051,0.898,0.7551,0.8551,7,0.0667
2018-03-29,FTNT,0.4212,0.3986,0.9388,0.6327,0.8469,8,0.0667
2018-03-29,PANW,0.2973,0.6003,0.8163,0.8163,0.8163,9,0.0667
2018-03-29,ISRG,0.2094,0.6175,0.7551,0.8571,0.7857,10,0.0667
2018-03-29,PYPL,0.198,0.7546,0.7143,0.9388,0.7816,11,0.0667
2018-03-29,MAR,0.2611,0.4542,0.7959,0.7143,0.7714,12,0.0667
2018-03-29,CSCO,0.3018,0.3152,0.8367,0.5714,0.7571,13,0.0667
2018-03-29,MSFT,0.2479,0.4233,0.7755,0.6531,0.7388,14,0.0667
2018-03-29,INTU,0.207,0.4863,0.7347,0.7347,0.7347,15,0.0667
2018-04-30,AMZN,0.6105,0.6931,1.0,0.9388,0.9816,1,0.0667
2018-04-30,NFLX,0.6006,1.053,0.9796,0.9796,0.9796,2,0.0667
2018-04-30,MELI,0.4837,0.486,0.9592,0.8163,0.9163,3,0.0667
2018-04-30,PANW,0.2938,0.7758,0.898,0.9592,0.9163,3,0.0667
2018-04-30,ADBE,0.2754,0.6569,0.8776,0.898,0.8837,5,0.0667
2018-04-30,FTNT,0.3805,0.4195,0.9388,0.7347,0.8776,6,0.0667
