date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2018-07-31,MSFT,0.1542,0.4876,0.0107,0.7755,0.7755,0.8776,0.7959,6,0.0667
2018-07-31,MU,0.2669,0.8773,0.0268,0.9388,1.0,0.102,0.7898,8,0.0667
2018-07-31,INTU,0.2172,0.5025,0.0123,0.8367,0.8163,0.6122,0.7857,9,0.0667
2018-07-31,ISRG,0.1878,0.6249,0.0143,0.7959,0.898,0.5306,0.7735,10,0.0667
2018-07-31,ORLY,0.1406,0.4978,0.0119,0.7347,0.7959,0.6939,0.7449,11,0.0667
2018-07-31,COST,0.1113,0.3961,0.0073,0.6735,0.6735,1.0,0.7388,12,0.0667
2018-07-31,NFLX,0.2104,0.8576,0.0219,0.8163,0.9796,0.1633,0.7347,13,0.0667
2018-07-31,AAPL,0.1487,0.2993,0.0109,0.7551,0.5714,0.8163,0.7122,14,0.0667
2018-07-31,AMD,0.4242,0.3468,0.0305,1.0,0.6122,0.0204,0.6878,15,0.0667
2018-08-31,ORLY,0.3588,0.7102,0.0113,0.9592,0.898,0.7959,0.9082,1,0.0667
2018-08-31,AMZN,0.321,1.0525,0.0122,0.9184,0.9592,0.6939,0.8857,2,0.0667
2018-08-31,ISRG,0.32,0.6722,0.0127,0.898,0.8571,0.5918,0.8245,3,0.0667
2018-08-31,FTNT,0.6537,1.1927,0.0231,0.9796,1.0,0.1633,0.8224,4,0.0667
2018-08-31,CTAS,0.2448,0.5977,0.0101,0.7551,0.7959,0.9184,0.8,5,0.0667
2018-08-31,INTU,0.2951,0.5661,0.0118,0.8367,0.7755,0.7347,0.798,6,0.0667
2018-08-31,AMD,1.1134,0.9362,0.033,1.0,0.9388,0.0612,0.7939,7,0.0667
2018-08-31,CSX,0.3238,0.4984,0.0128,0.9388,0.6939,0.551,0.7878,8,0.0667
2018-08-31,ADP,0.2823,0.408,0.0096,0.8163,0.6122,0.9592,0.7837,9,0.0667
2018-08-31,COST,0.2241,0.5039,0.0077,0.7347,0.7143,1.0,0.7816,10,0.0667
2018-08-31,AAPL,0.2969,0.409,0.0116,0.8571,0.6327,0.7551,0.7694,11,0.0667
2018-08-31,ADBE,0.2479,0.6983,0.0142,0.7755,0.8776,0.5102,0.7531,12,0.0667
2018-08-31,MSFT,0.2094,0.5294,0.0104,0.6939,0.7347,0.8571,0.7388,13,0.0667
2018-08-31,PANW,0.2822,0.742,0.0182,0.7959,0.9184,0.3061,0.7347,14,0.0667
2018-08-31,NVDA,0.1925,0.6606,0.0169,0.6735,0.8367,0.3673,0.6612,15,0.0667
2018-09-28,ORLY,0.4712,0.6133,0.0104,0.9592,0.8776,0.8776,0.9184,1,0.0667
2018-09-28,AMZN,0.4599,1.0943,0.0131,0.9388,0.9592,0.5102,0.8592,2,0.0667
2018-09-28,ISRG,0.4318,0.6786,0.0129,0.9184,0.898,0.551,0.8388,3,0.0667
2018-09-28,FTNT,0.7599,1.5695,0.0234,0.9796,1.0,0.1837,0.8265,4,0.0667
2018-09-28,INTU,0.3442,0.6129,0.0115,0.8367,0.8571,0.7143,0.8184,5,0.0667
2018-09-28,ADP,0.3428,0.4109,0.0075,0.8163,0.6939,1.0,0.8163,6,0.0667
2018-09-28,AMD,2.2413,1.4246,0.0374,1.0,0.9796,0.0408,0.802,7,0.0667
2018-09-28,COST,0.2922,0.449,0.0084,0.7551,0.7347,0.9796,0.7939,8,0.0667
2018-09-28,MSFT,0.3026,0.5762,0.0107,0.7755,0.7959,0.8163,0.7898,9,0.0667
2018-09-28,AAPL,0.3643,0.495,0.0132,0.8776,0.7551,0.4898,0.7633,10,0.0667
2018-09-28,CSX,0.3614,0.399,0.0124,0.8571,0.6327,0.6735,0.7531,11,0.0667
2018-09-28,QCOM,0.3649,0.4435,0.0157,0.898,0.7143,0.3878,0.7408,12,0.0667
2018-09-28,ADBE,0.2717,0.8385,0.0146,0.6939,0.9184,0.4694,0.7163,13,0.0667
2018-09-28,NFLX,0.3348,1.0704,0.0235,0.7959,0.9388,0.1633,0.7122,14,0.0667
2018-09-28,NVDA,0.2728,0.6036,0.0165,0.7347,0.8367,0.3265,0.6837,15,0.0667
2018-10-31,ORLY,0.2387,0.5205,0.0135,0.898,0.9388,0.8571,0.902,1,0.0667
2018-10-31,COST,0.191,0.4351,0.0134,0.8571,0.898,0.8776,0.8735,2,0.0667
2018-10-31,FTNT,0.4646,1.0853,0.0196,0.9796,1.0,0.4082,0.8714,3,0.0667
2018-10-31,AAPL,0.2464,0.3143,0.0153,0.9388,0.7551,0.7551,0.8469,4,0.0667
2018-10-31,QCOM,0.2746,0.2786,0.0164,0.9592,0.7143,0.6735,0.8286,5,0.0667
2018-10-31,AMD,0.6661,0.657,0.049,1.0,0.9796,0.0204,0.798,6,0.0667
2018-10-31,CSX,0.1728,0.385,0.0143,0.7755,0.8163,0.7959,0.7918,7,0.0667
2018-10-31,ADP,0.1819,0.2652,0.0139,0.8163,0.6939,0.8367,0.7837,8,0.0667
2018-10-31,AMGN,0.1756,0.1324,0.0134,0.7959,0.5714,0.898,0.749,9,0.0667
2018-10-31,CMCSA,0.2437,0.0808,0.0181,0.9184,0.5306,0.5306,0.7245,10,0.0667
2018-10-31,TMUS,0.2259,0.1469,0.0185,0.8776,0.5918,0.5102,0.7184,11,0.0667
2018-10-31,PEP,0.1716,0.0523,0.0111,0.7551,0.449,0.9388,0.7,12,0.0667
2018-10-31,ISRG,0.1627,0.3885,0.0196,0.7347,0.8367,0.3673,0.6918,13,0.0667
2018-10-31,INTU,0.1367,0.4094,0.0192,0.6531,0.8776,0.4286,0.6755,14,0.0667
2018-10-31,MSFT,0.1447,0.3072,0.0173,0.6735,0.7347,0.5918,0.6755,14,0.0667
2018-11-30,ORLY,0.2487,0.4681,0.0171,0.9592,0.9388,0.7755,0.9163,1,0.0667
2018-11-30,AMD,0.4343,0.9559,0.053,1.0,1.0,0.0204,0.8041,2,0.0667
2018-11-30,PEP,0.228,0.0727,0.0122,0.9388,0.4694,0.9592,0.802,3,0.0667
2018-11-30,COST,0.1701,0.2672,0.015,0.7959,0.7143,0.9388,0.8,4,0.0667
2018-11-30,SBUX,0.1836,0.1807,0.0168,0.8776,0.6122,0.8163,0.7857,5,0.0667
2018-11-30,TMUS,0.1984,0.1208,0.0165,0.898,0.5306,0.8776,0.7837,6,0.0667
2018-11-30,VRTX,0.2081,0.253,0.0216,0.9184,0.6939,0.4694,0.7612,7,0.0667
2018-11-30,FTNT,0.182,0.7556,0.0296,0.8571,0.9796,0.1837,0.7592,8,0.0667
2018-11-30,CSX,0.1295,0.3204,0.0167,0.6939,0.7959,0.8367,0.7531,9,0.0667
2018-11-30,CMCSA,0.2607,0.061,0.0185,0.9796,0.4082,0.6735,0.7469,10,0.0667
2018-11-30,AMGN,0.1385,0.2204,0.0156,0.7143,0.6735,0.9184,0.7429,11,0.0667
2018-11-30,CSCO,0.1145,0.3224,0.0176,0.6735,0.8163,0.7551,0.7327,12,0.0667
2018-11-30,ADP,0.1089,0.3149,0.0165,0.6327,0.7551,0.898,0.7224,13,0.0667
2018-11-30,MDLZ,0.1437,0.0707,0.0114,0.7347,0.4286,0.9796,0.6918,14,0.0667
